Fmax,Fdrai,Sy,LH,SH,runoff,BTRAN,GPP,TLAI,TOTVEGC,TOTSOMC
0.853696,3.819705,0.191673,48.133,61.792,62.23,0.998,2.559,1.69,3.591,4.258
0.015053,2.316444,0.292788,60.716,47.501,38.956,0.992,5.122,3.187,10.126,4.993
0.274861,3.963544,0.382779,60.726,47.504,39.027,0.992,5.12,3.188,10.076,4.983
0.478032,0.706722,0.20277,52.629,57.841,47.283,0.999,3.41,2.115,5.868,5.009
0.123257,4.521184,0.142779,55.734,55.213,65.847,0.999,4.022,2.594,6.676,5.132
0.341107,1.239249,0.232767,60.423,47.889,40.624,0.991,5.116,3.238,9.989,4.977
0.559863,2.861241,0.322785,60.753,47.51,39.206,0.992,5.116,3.203,9.963,4.956
0.204465,0.177973,0.352782,53.189,57.385,45.063,0.999,3.521,2.181,6.1,5.066
0.407371,1.7758,0.172773,7.703,87.436,78.99,0.051,0,0,0,3.421
0.669827,3.410249,0.262791,60.639,47.598,39.867,0.992,5.079,3.183,9.944,4.954
0.0562,3.594533,0.332775,60.718,47.501,38.967,0.992,5.122,3.187,10.116,4.991
0.2972,0.353754,0.152777,11.298,86.358,132.553,0.161,0,0,0,3.211
0.503558,1.955391,0.242784,60.656,47.596,39.983,0.992,5.085,3.19,9.928,4.954
0.152214,0.883628,0.272781,60.527,47.759,39.568,0.991,5.122,3.218,9.993,4.962
0.362972,2.497415,0.362772,60.714,47.511,39.078,0.992,5.112,3.184,10.037,4.976
0.591829,4.149273,0.18279,52.209,58.282,70.219,0.999,3.245,2.124,5.003,4.722
0.228763,3.044098,0.212787,53.68,57.055,69.559,0.999,3.534,2.263,5.763,4.951
0.430164,4.708381,0.302778,60.757,47.508,39.199,0.992,5.117,3.204,9.961,4.956
0.721707,1.417485,0.392769,60.761,47.494,39.112,0.992,5.121,3.201,9.998,4.966
0.091653,1.596658,0.19278,41.252,68.631,53.598,0.802,2.333,1.356,4.396,5.14
0.319192,3.226938,0.282771,60.757,47.507,39.198,0.992,5.117,3.204,9.962,4.956
0.530712,4.895566,0.372789,60.747,47.497,39.107,0.992,5.117,3.194,10.013,4.969
0.179091,2.135934,0.402786,60.727,47.497,38.989,0.992,5.122,3.188,10.106,4.988
0.384989,3.778799,0.222777,60.69,47.597,40.234,0.992,5.106,3.216,9.969,4.963
0.627881,0.529921,0.312768,58.336,50.093,46.825,0.986,4.946,3.15,9.392,4.987
0.252131,4.334983,0.252774,60.767,47.514,39.28,0.992,5.122,3.211,9.944,4.955
0.453619,1.060971,0.342765,60.762,47.494,39.114,0.992,5.121,3.201,9.997,4.966
0.793686,2.679341,0.162783,48.838,61.182,70.244,0.999,2.648,1.705,3.852,4.379
0.029571,4.025568,0.196101,55.762,55.22,77.68,0.999,4.004,2.579,6.656,5.142
0.282369,0.765479,0.286119,60.203,48.014,40.255,0.991,5.071,3.174,9.949,4.966
0.486371,2.37704,0.37611,60.752,47.492,39.085,0.992,5.12,3.197,10.027,4.971
0.133197,1.298449,0.316116,60.729,47.501,39.027,0.992,5.12,3.188,10.078,4.984
0.348368,2.922308,0.136111,6.09,87.91,79.867,0.047,0,0,0,3.695
0.570131,4.583698,0.226098,60.627,47.669,40.81,0.992,5.107,3.228,9.941,4.975
0.212699,1.835454,0.256122,60.748,47.513,39.223,0.992,5.115,3.202,9.957,4.956
0.414887,3.471791,0.346113,60.746,47.498,39.108,0.992,5.117,3.195,10.012,4.969
0.685677,0.236535,0.166104,14.231,85.303,205.337,0.162,0,0,0,3.14
0.068539,0.412415,0.236115,53.177,57.398,44.72,0.999,3.519,2.18,6.093,5.065
0.304535,2.015683,0.326106,60.747,47.495,39.096,0.992,5.118,3.194,10.022,4.97
0.512438,3.655738,0.146111,52.441,58.108,70.657,0.999,3.267,2.128,5.091,4.752
0.161343,2.558166,0.176121,53.531,57.194,86.192,0.999,3.522,2.232,5.833,4.982
0.370267,4.210954,0.266112,60.765,47.51,39.311,0.992,5.121,3.213,9.993,4.957
0.603357,0.943011,0.356103,60.763,47.5,39.14,0.992,5.121,3.203,9.98,4.962
0.236615,4.770554,0.3861,60.734,47.498,39.006,0.992,5.123,3.191,10.088,4.985
0.437941,1.477322,0.206118,58.436,50.901,44.391,0.991,4.872,3.166,8.891,5.077
0.742673,3.104829,0.296109,60.704,47.614,39.435,0.991,5.153,3.254,10.007,4.971
0.10255,3.287829,0.36612,60.717,47.502,38.978,0.992,5.121,3.187,10.111,4.99
0.326525,4.958411,0.186111,55.252,55.624,64.267,0.999,3.943,2.554,6.46,5.086
0.540142,1.656166,0.276102,60.694,47.63,39.432,0.991,5.156,3.262,10.003,4.969
0.187673,3.840162,0.306099,60.714,47.511,39.076,0.992,5.112,3.184,10.039,4.976
0.392428,0.588872,0.396117,60.602,47.683,39.396,0.991,5.126,3.215,9.94,4.958
0.641024,2.195892,0.216108,50.442,59.796,63.367,0.999,2.926,1.858,4.549,4.627
0.25981,1.120508,0.156111,2.443,89.942,85.971,0.02,0,0,0,4.172
0.461666,2.739755,0.246105,60.658,47.583,39.805,0.992,5.086,3.186,9.943,4.955
0.826592,4.397333,0.336123,60.767,47.514,39.26,0.992,5.124,3.211,9.943,4.954
0.04325,0.647532,0.379431,60.718,47.554,39.164,0.992,5.13,3.207,10.037,4.975
0.289773,2.256389,0.199449,52.649,57.923,74.057,0.999,3.341,2.115,5.492,4.897
0.494921,3.902079,0.28944,60.766,47.517,39.297,0.992,5.122,3.212,9.938,4.955
0.142789,2.800718,0.229446,60.769,47.51,39.261,0.992,5.123,3.21,9.945,4.954
0.355694,4.459234,0.319437,60.764,47.492,39.116,0.992,5.12,3.201,9.995,4.965
0.58083,1.179613,0.139444,2.651,89.759,84.893,0.021,0,0,0,4.143
0.220751,3.349257,0.169452,54.012,56.752,74.333,0.999,3.62,2.321,5.94,4.995
0.422524,0.119484,0.259443,53.191,57.383,45.091,0.999,3.521,2.18,6.1,5.066
0.702959,1.715711,0.349434,60.763,47.503,39.181,0.992,5.118,3.204,9.95,4.957
0.080329,1.895645,0.149445,4.989,88.517,81.775,0.036,0,0,0,3.762
0.311904,3.532889,0.239436,60.728,47.546,39.543,0.992,5.117,3.213,9.971,4.967
0.521434,0.295095,0.329454,53.141,57.428,44.72,0.999,3.514,2.176,6.086,5.064
0.170344,4.087141,0.359451,60.727,47.502,39.008,0.992,5.121,3.188,10.091,4.986
0.377644,0.824769,0.179442,2.323,89.893,97.169,0.031,0,0,0,4.283
0.615286,2.437202,0.269433,60.719,47.555,39.628,0.992,5.109,3.208,9.961,4.962
0.244444,1.358181,0.299457,60.756,47.494,39.097,0.992,5.12,3.199,10.008,4.968
0.445735,2.982926,0.389448,60.716,47.51,39.074,0.992,5.112,3.184,10.04,4.977
0.766183,4.645757,0.209439,50.261,59.932,63.396,0.998,2.95,1.944,4.389,4.538
0.113099,4.833288,0.27945,60.714,47.511,39.061,0.992,5.113,3.184,10.049,4.978
0.333789,1.536725,0.369441,60.714,47.511,39.061,0.992,5.114,3.184,10.05,4.979
0.549823,3.165612,0.189432,51.534,58.882,67.236,0.999,3.082,2.003,4.738,4.655
0.196173,0.471162,0.219456,53.083,57.473,45.166,0.999,3.501,2.168,6.066,5.058
0.399846,2.075539,0.309447,60.763,47.501,39.156,0.992,5.119,3.203,9.965,4.959
0.655037,3.717489,0.399438,60.746,47.498,39.104,0.992,5.118,3.195,10.015,4.969
0.267364,2.618482,0.339444,60.715,47.511,39.068,0.992,5.113,3.185,10.044,4.977
0.469756,4.273195,0.159443,53.44,57.219,69.41,0.999,3.503,2.282,5.546,4.872
0.869246,1.001969,0.249453,60.232,48.115,41.751,0.99,5.092,3.231,9.857,4.974
0.019995,4.604381,0.350568,60.716,47.5,38.955,0.992,5.122,3.187,10.129,4.993
