lat,lon,lang
14.59726823,121.03541545,en
-6.96929,110.43304,id
-7.77295,110.39872,id
59.315658,18.03317233,en
51.71897493,-2.51801859,en
9.9579816,-84.0785518,es
34.5745802,135.48257483,ja
-15.83025472,-48.10553467,pt
29.56062752,-98.49950354,en
44.63362332,10.57332367,pl
34.14071491,-118.37613438,en
-22.1083045,-41.4804201,pt
54.97779131,-2.38073292,en
6.1539247,102.2762482,en
52.1305372,-2.3334596,und
29.31494812,47.88381242,ar
34.9875451,-101.9300294,en
14.1582549,100.6382111,vi
40.3520417,-3.708658,es
55.1286412,-6.6696442,en
43.537279,-5.8891009,es
44.90351847,-94.36770899,en
48.7006824,6.1521308,fr
-15.68054151,-48.18872704,pt
53.48864971,-1.11570037,en
23.606945,58.2330218,ar
-33.4100221,-70.548916,es
43.3678367,5.3435919,fr
37.5337109,127.1131219,ko
35.57110513,-77.35591189,en
25.39033267,51.41892736,ar
33.85541739,-117.97766525,en
0,0,en
49.019982,1.1371531,id
21.2788334,40.4349774,ar
2.9287305,101.6827919,id
43.7616948,11.3265084,it
-23.5376581,-46.6834384,pt
40.10240833,141.05906667,ja
5.6121805,-0.1040367,en
-4.14605,120.04317,id
18.00068352,-92.94869789,es
43.12917539,-88.18727514,en
-23.62570665,-46.62394827,pt
3.2496315,101.7277615,id
41.28882886,36.33019835,en
35.70829959,139.81293469,ja
-23.53926605,-46.53752687,und
-33.312923,-60.6040424,es
-7.8220776,110.3812938,id
18.00951015,-66.59207388,en
40.61326671,-74.0915856,en
53.19103508,7.08309165,nl
39.71114539,-86.13592501,en
34.77133384,-96.6537437,en
31.18292487,-85.23134313,en
26.06245938,-80.16446026,en
3.37524,-76.54274286,es
-8.039123,-34.8946407,en
35.72773553,139.281958,ja
42.40845397,-71.12238748,en
-7.813307,110.3587648,id
-6.89688,107.61247,id
41.7673907,-88.2466791,en
36.49997807,-6.27424447,es
-7.8336237,110.4728178,tl
43.6437277,-79.365242,en
43.7763381,-79.3488704,en
33.75474991,-84.38241969,en
38.7731639,-104.81195784,en
28.3587181,-81.5599251,es
-1.45383969,-48.46468527,pt
35.622542,139.751714,ja
13.7632104,100.5304847,th
37.38216759,27.26173289,en
34.36678595,-89.53219802,en
35.91044449,-79.05751951,en
38.4771767,27.2487322,tr
24.5961618,46.6770145,ar
-23.55102218,-46.63656475,pt
51.07756552,-4.03995437,en
31.95311626,34.80289198,he
35.8945674,139.4706294,ja
36.9934043,35.32524228,tr
41.48321486,-71.53100009,en
3.4187519,-76.4966043,it
12.1999313,-86.09418004,es
9.93402305,-84.06759202,lv
40.1947351,28.9950407,tr
43.03471668,-76.13216351,en
-25.2900395,-57.6024104,es
35.6538944,139.3399772,ja
46.91086629,32.0807027,ru
56.46608674,-3.01551874,und
39.49276925,-74.53146975,en
37.5902668,127.0155268,ko
53.96540349,27.63954434,en
20.4474945,40.88267606,ar
31.06217849,31.40345227,ar
39.7768977,-75.1125786,en
40.2374201,-74.7861133,en
37.4794773,126.7818643,ko
46.03202381,12.59044139,en
